strategy,trades,avg_R,win_rate,breakeven_rate
15m / 1m|R=2|Stop=1|BE=1.0,1101,0.36188281923788684,0.7247956403269755,0.27338782924613986
15m / 1m|R=2|Stop=1|BE=1.5,1101,0.36188281923788684,0.7247956403269755,0.27338782924613986
15m / 1m|R=2|Stop=2|BE=1.0,1101,0.3605276476273685,0.7220708446866485,0.2761126248864669
15m / 1m|R=2|Stop=2|BE=1.5,1101,0.3605276476273685,0.7220708446866485,0.2761126248864669
15m / 1m|R=2|Stop=3|BE=1.5,1101,0.35780987498325806,0.7166212534059946,0.2815622161671208
15m / 1m|R=2|Stop=4|BE=1.5,1101,0.3546377751827343,0.7102633969118983,0.28792007266121705
15m / 1m|R=2|Stop=5|BE=1.5,1101,0.3496489585661748,0.7002724795640327,0.29791099000908267
15m / 1m|R=2|Stop=6|BE=1.5,1101,0.34738475889590376,0.695731153496821,0.3024523160762943
30m / 1m|R=2|Stop=0|BE=1.5,978,0.31631530024168064,0.6329243353783232,0.3670756646216769
30m / 1m|R=2|Stop=1|BE=0.75,978,0.33164749946859584,0.66359918200409,0.33640081799591004
30m / 1m|R=2|Stop=1|BE=1.0,978,0.364257275655826,0.7300613496932515,0.2689161554192229
30m / 1m|R=2|Stop=1|BE=1.5,978,0.364257275655826,0.7300613496932515,0.2689161554192229
30m / 1m|R=2|Stop=2|BE=1.0,978,0.3632382154234734,0.7280163599182005,0.27096114519427406
30m / 1m|R=2|Stop=2|BE=1.5,978,0.3632382154234734,0.7280163599182005,0.27096114519427406
30m / 1m|R=2|Stop=3|BE=1.0,978,0.3596628294462351,0.7208588957055214,0.278118609406953
30m / 1m|R=2|Stop=3|BE=1.5,978,0.3596628294462351,0.7208588957055214,0.278118609406953
30m / 1m|R=2|Stop=4|BE=1.0,978,0.3611998327465407,0.7239263803680982,0.27505112474437626
30m / 1m|R=2|Stop=4|BE=1.5,978,0.3611998327465407,0.7239263803680982,0.27505112474437626
30m / 1m|R=2|Stop=5|BE=1.5,978,0.3582577819146063,0.7177914110429447,0.28118609406952966
30m / 1m|R=2|Stop=6|BE=1.5,978,0.3552718726806817,0.7137014314928425,0.2842535787321063
30m / 1m|R=2|Stop=7|BE=1.5,978,0.3517166425058809,0.7065439672801636,0.29141104294478526
30m / 1m|R=2|Stop=8|BE=1.5,978,0.3430465687192155,0.689161554192229,0.30879345603271985
30m / 1m|R=3|Stop=1|BE=1.5,978,0.364257275655826,0.7300613496932515,0.2689161554192229
60m / 1m|R=2|Stop=0|BE=0.25,506,0.3221343873517787,0.6442687747035574,0.3557312252964427
60m / 1m|R=2|Stop=0|BE=0.5,506,0.327134750448684,0.6541501976284585,0.3458498023715415
60m / 1m|R=2|Stop=0|BE=0.75,506,0.33742221002468115,0.6739130434782609,0.32608695652173914
60m / 1m|R=2|Stop=0|BE=1.0,506,0.34137477919464165,0.6818181818181818,0.3181818181818182
60m / 1m|R=2|Stop=0|BE=1.5,506,0.34137477919464165,0.6818181818181818,0.3181818181818182
60m / 1m|R=2|Stop=1|BE=0.25,506,0.3201581027667984,0.6403162055335968,0.35968379446640314
60m / 1m|R=2|Stop=1|BE=0.5,506,0.3300882911554848,0.6600790513833992,0.33992094861660077
60m / 1m|R=2|Stop=1|BE=0.75,506,0.3571541814752321,0.7134387351778656,0.2865612648221344
60m / 1m|R=2|Stop=1|BE=1.0,506,0.3848221656649554,0.7687747035573123,0.23122529644268774
60m / 1m|R=2|Stop=1|BE=1.5,506,0.3848221656649554,0.7687747035573123,0.23122529644268774
60m / 1m|R=2|Stop=2|BE=0.25,506,0.31521739130434784,0.6304347826086957,0.3695652173913043
60m / 1m|R=2|Stop=2|BE=0.5,506,0.3271132019874615,0.6541501976284585,0.3458498023715415
60m / 1m|R=2|Stop=2|BE=0.75,506,0.3600885228718314,0.7193675889328063,0.28063241106719367
60m / 1m|R=2|Stop=2|BE=1.0,506,0.3857802224765745,0.7707509881422925,0.22924901185770752
60m / 1m|R=2|Stop=2|BE=1.5,506,0.3857802224765745,0.7707509881422925,0.22924901185770752
60m / 1m|R=2|Stop=3|BE=0.25,506,0.31126482213438733,0.6225296442687747,0.3774703557312253
60m / 1m|R=2|Stop=3|BE=0.5,506,0.3221620452785405,0.6442687747035574,0.3557312252964427
60m / 1m|R=2|Stop=3|BE=0.75,506,0.3541303420930727,0.7075098814229249,0.2924901185770751
60m / 1m|R=2|Stop=3|BE=1.0,506,0.38377461086777626,0.766798418972332,0.233201581027668
